house_id,bedrooms,bathrooms,square_footage,lot_size,location,year_built,price
,1,1,2147,0.62,Shelbyville,1952,220784.75
,3,2,1273,0.98,Shelbyville,1953,153276.55
,5,3,3506,0.88,Shelbyville,1980,904569.85
,5,3,3417,0.85,Shelbyville,2006,657506.59
,1,3,2870,0.55,Springfield,2010,581446.38
,6,3,3664,0.79,Capital City,1985,591187.04
,2,1,3029,0.29,Capital City,1956,811872.08
,4,3,1995,0.87,Springfield,1955,520558.27
,3,3,2493,0.88,Shelbyville,1995,523575.36
,4,4,2906,0.4,Capital City,2004,342820.04
,6,3,2835,0.87,Capital City,1994,807647.86
,6,2,2956,0.63,Springfield,1954,299918.77
,2,3,2629,0.86,Shelbyville,1989,709530.9
,2,4,2719,0.89,Capital City,1958,646783.83
,1,4,2089,0.61,Shelbyville,2017,376551.95
,3,4,2450,0.42,Capital City,1998,584912.9
,5,1,2079,0.82,Capital City,1995,511391.91
,1,3,2171,0.61,Springfield,1962,594505.3
,4,2,2124,0.33,Springfield,2017,630268.16
,1,3,965,0.48,Capital City,1993,479211.74
,1,2,3799,0.79,Springfield,1967,743658.33
,2,1,757,0.97,Shelbyville,1988,690767.12
,2,1,2924,0.79,Capital City,1961,668016.35
,5,3,2348,0.16,Capital City,2001,249856.14
,4,4,2717,0.4,Capital City,1981,697499.1
,3,1,2364,0.73,Springfield,2002,437766.53
,1,1,2667,0.17,Capital City,1959,649976.35
,2,1,1389,0.5,Capital City,1974,117690.05
,5,1,2666,0.43,Capital City,1990,327389.82
,6,4,2118,0.21,Shelbyville,1955,373111.61
,6,3,1637,0.75,Shelbyville,1989,730786.05
,1,2,3594,0.13,Shelbyville,2009,181669.31
,2,1,3702,0.81,Springfield,1964,728988.06
,3,4,3488,0.85,Capital City,2008,372463.31
,4,3,1255,0.95,Capital City,2023,940842.86
,6,1,2871,0.25,Springfield,1976,663403.62
,4,1,1576,0.96,Springfield,2009,222465.4
,2,2,3828,0.85,Capital City,2011,429451.67
,3,4,2012,0.17,Shelbyville,1951,271607.68
,3,3,1406,0.72,Shelbyville,1968,563490.39
,1,2,3489,0.84,Springfield,1964,297369.23
,2,4,1776,0.91,Springfield,1994,415256.87
,2,1,1196,0.82,Shelbyville,1955,692538.91
,4,1,1753,0.75,Capital City,1997,118639.77
,1,3,2996,0.98,Springfield,1955,507733.1
,1,1,1755,0.23,Capital City,2011,410763.49
,5,2,3760,0.88,Capital City,1967,423966.54
,6,3,3652,0.4,Springfield,1955,358874.6
,2,3,3252,0.56,Capital City,1963,731107.35
,5,3,838,0.19,Shelbyville,2023,777647.93
,4,1,1568,0.98,Springfield,2002,108822.9
,6,3,1885,0.65,Capital City,2022,560463.42
,5,3,2833,0.44,Springfield,1982,171659.39
,2,3,751,0.84,Capital City,1965,982516.86
,5,2,2753,0.38,Shelbyville,1989,880940.06
,2,2,1539,0.45,Springfield,1952,421996.7
,5,4,982,0.26,Capital City,1991,882782.55
,5,2,3607,0.59,Springfield,2003,121236.91
,1,4,1722,0.76,Springfield,1982,512934.31
,2,4,877,0.34,Springfield,1954,425484.91
,1,2,2615,0.97,Capital City,1975,637898.63
,3,3,3418,0.19,Capital City,1963,292473.49
,4,1,2444,0.49,Springfield,2021,974364.03
,3,3,3180,0.68,Shelbyville,1993,957959.89
,4,2,2213,0.48,Capital City,1963,352648.63
,2,4,1047,0.93,Capital City,1956,514963.69
,2,4,2288,0.27,Capital City,2013,266434.77
,1,3,3115,0.58,Springfield,1952,927610.72
,4,3,2624,0.55,Shelbyville,2003,336244.32
,1,3,3560,0.13,Capital City,2014,596951.69
,2,3,1394,0.66,Shelbyville,1974,555449.97
,5,2,2007,0.97,Springfield,2016,408565.34
,4,2,2016,0.52,Capital City,1978,792005.69
,1,2,2375,0.9,Springfield,1974,591460.67
,6,2,708,0.46,Capital City,1977,356255.56
,1,4,2976,0.2,Shelbyville,1964,285561.78
,2,1,1202,0.21,Capital City,1951,489313.8
,4,1,2302,0.69,Springfield,1979,883111.3
,5,2,601,0.59,Springfield,1952,541853.89
,6,3,624,0.92,Shelbyville,1954,857024.7
,5,2,1105,0.12,Capital City,2015,680217.11
,2,4,655,0.32,Springfield,1983,155142.51
,2,1,1400,0.13,Shelbyville,1973,257017.11
,4,4,1350,0.77,Shelbyville,2021,108822.87
,2,4,2546,0.52,Springfield,2021,320800.54
,2,3,1866,0.18,Shelbyville,1989,673378.62
,5,2,3520,0.22,Shelbyville,2006,262491.43
,2,3,1387,0.98,Springfield,1959,200093.58
,1,2,2493,0.52,Capital City,1963,749437.43
,6,1,1222,0.89,Capital City,1958,353236.31
,4,3,3624,0.17,Capital City,2005,520152.82
,2,4,1166,0.83,Springfield,1956,438082.33
,2,1,2677,0.11,Capital City,1984,676067.98
,4,2,1156,0.87,Shelbyville,1985,721736.52
,6,3,685,0.14,Springfield,1979,359731.89
,6,3,3556,0.3,Capital City,1967,190226.11
,4,4,2118,0.5,Springfield,2017,970309.13
,1,2,3612,0.86,Springfield,1975,117106.93
,6,3,964,0.31,Capital City,1983,320812.93
,2,1,541,0.86,Shelbyville,2010,685760.03
,3,3,2811,0.35,Capital City,1986,823279.54
,3,3,939,0.76,Capital City,2011,752886.93
,3,2,827,0.79,Shelbyville,1993,684396.96
,2,1,3364,0.44,Springfield,2014,993402.4
,1,3,3932,0.65,Capital City,2015,235019.84
,6,3,3093,0.7,Shelbyville,1953,187145.53
,5,4,1112,0.11,Springfield,1986,907119.7
,2,4,3221,0.77,Shelbyville,1993,972502.99
,6,2,3381,0.27,Springfield,1982,999558.58
,4,3,2239,0.97,Shelbyville,1974,125619.83
,5,1,2065,0.24,Springfield,1985,195735.44
,1,2,2679,0.86,Capital City,1995,404847.41
,5,2,3484,0.52,Capital City,1960,409125.86
,4,2,1728,0.64,Shelbyville,1960,373548.76
,6,1,2604,0.35,Springfield,1982,788355.03
,1,1,2336,0.22,Capital City,1999,828335.43
,1,2,1293,0.45,Springfield,1995,419158.98
,1,2,2878,0.63,Springfield,1952,703299.75
,1,3,2164,0.89,Capital City,2013,317083.4
,6,1,3246,0.54,Springfield,2019,949189.19
,5,1,2997,0.27,Springfield,1983,825302.94
,2,1,3852,0.71,Capital City,1964,412762.78
,2,1,1576,0.19,Springfield,2000,831608.12
,2,2,867,0.97,Capital City,1950,798689.76
,3,4,3111,0.78,Capital City,1992,116057.12
,2,3,3772,0.8,Capital City,1955,687134.22
,6,2,3680,0.16,Shelbyville,2006,597137.54
,3,2,2858,0.53,Shelbyville,1952,338457.33
,3,3,1853,0.64,Capital City,2017,710486.84
,5,2,1593,0.58,Springfield,2001,299215.55
,1,4,1797,0.21,Shelbyville,1954,518129.85
,4,3,1267,0.43,Springfield,2023,849289.39
,4,3,1842,0.56,Capital City,1998,611658.49
,6,4,1717,0.38,Capital City,2016,156445.43
,2,4,3207,0.94,Capital City,1967,659466.59
,2,3,3632,0.32,Springfield,1996,460106.06
,4,2,1835,0.18,Shelbyville,1985,232466.52
,6,4,1369,0.45,Capital City,1984,893296.17
,3,2,2428,0.65,Springfield,1951,272514.34
,5,3,2325,0.32,Shelbyville,1955,444112.74
,3,1,2116,0.78,Springfield,1997,969345.65
,6,4,3323,0.24,Shelbyville,2009,174983.31
,6,2,1357,0.87,Capital City,1963,770679.25
,2,1,911,0.37,Springfield,2018,407450.1
,6,1,3917,0.79,Springfield,1966,364093.77
,4,4,1096,0.84,Springfield,2015,294607.68
,1,4,2793,0.87,Capital City,1997,223760.55
,3,2,1038,0.54,Springfield,2013,763722.97
,1,3,865,0.5,Shelbyville,2023,301826.7
,6,3,3560,0.26,Springfield,1996,734048.08
,3,1,2740,0.35,Capital City,1991,577398.99
,2,3,958,0.45,Springfield,2020,186596.59
,1,4,2315,0.83,Shelbyville,1965,683889.22
,6,1,2965,0.48,Springfield,1966,376204.34
,3,3,610,0.74,Shelbyville,1954,430931.61
,5,3,1125,0.1,Springfield,1983,416055.55
,5,1,2347,0.84,Springfield,1968,610789.32
,5,4,3805,0.3,Springfield,1980,266961.99
,2,3,1812,0.49,Capital City,1976,322056.16
,6,1,3316,0.24,Capital City,2007,904383.11
,4,2,2971,0.87,Capital City,1969,395057.82
,2,4,1776,0.24,Shelbyville,1987,675808.12
,4,4,2704,0.81,Shelbyville,1990,669558.63
,2,4,3037,0.81,Capital City,1965,319088.32
,1,4,2506,0.72,Springfield,1964,959716.22
,5,4,2319,0.95,Shelbyville,2014,910445.19
,1,4,1134,0.45,Capital City,2014,944010.57
,4,2,2089,0.22,Capital City,1991,193808.82
,5,2,2279,0.3,Capital City,2002,852094.55
,3,3,3649,0.44,Springfield,1974,842435.99
,5,1,862,0.95,Springfield,1977,551395.35
,2,3,3157,0.71,Shelbyville,1955,794223.44
,1,3,1298,0.51,Capital City,1966,706186.69
,1,4,1072,0.85,Capital City,1958,870170.24
,3,1,2643,0.85,Capital City,2001,955574.51
,6,1,3166,0.21,Shelbyville,1977,394894.48
,5,1,2502,0.46,Springfield,1967,594052.29
,6,1,2471,0.48,Capital City,2009,743015.35
,6,3,2213,0.43,Capital City,1954,243042.46
,6,4,3386,0.45,Capital City,1969,796579.34
,2,2,615,0.82,Shelbyville,1999,278324.68
,1,2,3269,0.15,Shelbyville,1960,287021.79
,3,3,3577,0.71,Capital City,2010,529808.88
,1,3,1832,0.29,Shelbyville,2005,633687.17
,3,3,3862,0.14,Springfield,2010,502438.25
,5,4,2465,0.93,Shelbyville,1998,943568.85
,1,1,1399,0.96,Capital City,2016,167260.59
,5,2,671,0.82,Capital City,1993,667459.48
,1,3,751,0.41,Capital City,1990,312608.27
,4,2,3530,0.35,Springfield,1995,158617.76
,1,1,3632,0.41,Shelbyville,1986,126273.46
,5,2,2906,0.45,Capital City,1995,945922.68
,4,1,3404,0.96,Capital City,1962,781050.59
,4,2,2609,0.25,Springfield,2008,516771.65
,4,3,2370,0.45,Capital City,2010,123326.84
,3,1,3233,0.25,Springfield,1977,902617.94
,6,1,1680,0.66,Shelbyville,1994,966011.0
,3,4,618,0.72,Shelbyville,1994,623433.42
,3,1,3913,0.19,Capital City,1954,314917.45
,5,4,1083,0.52,Shelbyville,1991,645081.99
,6,2,1264,0.56,Shelbyville,2003,881489.98
,1,1,2716,0.93,Springfield,1951,202591.5
,1,2,2177,0.41,Capital City,1996,385277.44
,5,1,2361,0.16,Shelbyville,1958,465097.13
,1,3,2491,0.13,Springfield,1972,221380.01
,4,4,3863,0.94,Springfield,1953,148400.81
,5,2,2178,0.95,Shelbyville,1974,272941.87
,6,2,2942,0.39,Capital City,1971,823615.13
,1,4,2783,0.46,Shelbyville,1995,551236.76
,1,2,814,0.23,Shelbyville,2002,649701.27
,6,3,3887,0.36,Springfield,1959,206270.59
,3,2,2093,0.72,Shelbyville,2016,212519.03
,3,1,2058,0.53,Capital City,1979,500863.68
,1,3,1969,0.81,Capital City,1964,177387.31
,1,1,2013,0.81,Shelbyville,1970,455838.67
,4,4,2077,0.99,Shelbyville,2019,574359.67
,4,4,3797,0.57,Capital City,1996,878214.43
,5,2,852,0.28,Shelbyville,1987,477100.28
,1,1,2144,0.73,Shelbyville,2015,762101.85
,1,2,3250,0.93,Shelbyville,2005,411300.96
,4,4,2941,0.54,Shelbyville,2023,221078.0
,4,3,3228,0.19,Shelbyville,1961,652072.18
,1,4,2522,0.35,Springfield,1996,915573.39
,1,2,1858,0.25,Shelbyville,1956,483564.87
,6,2,827,0.23,Shelbyville,2000,872789.07
,6,4,2074,0.75,Springfield,1996,847963.07
,2,3,1144,0.24,Capital City,2021,286947.26
,4,4,1054,0.66,Springfield,2009,517492.27
,1,1,1882,0.39,Shelbyville,2023,108026.56
,1,2,1870,0.46,Shelbyville,1959,462418.74
,4,2,2892,0.22,Shelbyville,2010,108699.69
,1,2,3093,0.1,Capital City,1993,346971.44
